"Years","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Acres burned in wildfires (Items)","1323666","1148409","2896147","2719162","2447296","5009290","1827310","4621621","2953578","2069929","1797574","4073579","1840546","6065998","2856959","1329704","5626093","7393493","3570911","7184712","3960842","8097880","8689389","9873745","9328045","5292468","5921786","3422724","8711367","9326238","4319546","3595613","10125149","5509995","10026086","8767492","4664364","10122336","7125643"
"    By cause",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Human (Items)",,,,,,,,,,,,,,,,,,,"1748661","3077119","1922249","964800","1521327","4404844","3449360","3429991","2072746","1303449","5356771","2500249","1261980","1582770","2012461","3766610","4830476","5640489","1217324","5998813","3023759"
"            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alaska (Items)",,,,,,,,,,,,,,,,,,,"206844","427321","22093","17789","8184","147292","59007","1857","43887","106759","25236","33840","161767","222909","26652","10069","6890","28946","44061","284","9894"
"                Northwest (Items)",,,,,,,,,,,,,,,,,,,"98677","105544","126381","58178","219012","112098","244335","99706","29592","70684","30038","127303","115842","147583","702206","436106","465864","609578","140321","1516910","365742"
"                Northern California (Items)",,,,,,,,,,,,,,,,,,,"101240","39560","96415","146720","37658","146999","153154","91022","57997","22701","20051","178818","151677","181965","308762","93699","343195","1404463","190426","1229991","1024538"
"                Southern California (Items)",,,,,,,,,,,,,,,,,,,"101240","412447","653016","84075","61728","342864","855978","454249","296429","67236","80427","80539","380390","74082","96990","464718","532640","324102","36416","927722","82405"
"                Northern Rockies (Items)",,,,,,,,,,,,,,,,,,,"29981","65891","137309","23585","53616","126078","237835","105634","32651","25574","18219","279369","40184","29088","77905","84249","135131","48372","31984","230928","243603"
"                Great Basin (Items)",,,,,,,,,,,,,,,,,,,"172632","131274","188077","27500","231059","325235","334684","138160","43021","186857","118296","575690","40508","55508","49066","333318","788769","1030761","126584","431487","72416"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Eastern Great Basin (Items)",,,,,,,,,,,,,,,,,,,"114996","101986","182916","13636","187248","278288","288627","120391","16975","183684","64280","483019","30049","43363",,,,,,,
"                        Western Great Basin (Items)",,,,,,,,,,,,,,,,,,,"57636","29288","5161","13864","43811","46947","46057","17769","26046","3173","54016","92671","10459","12145",,,,,,,
"                Southwest (Items)",,,,,,,,,,,,,,,,,,,"20229","772299","127332","63062","267043","392892","90660","339201","210642","69860","1810445","106421","99900","74219","19596","219103","207818","309546","202918","368729","351928"
"                Rocky Mountains (Items)",,,,,,,,,,,,,,,,,,,"75483","661679","87823","35346","48356","209693","85442","117554","76842","118702","300776","393477","35258","71823","163871","530831","645162","504416","49743","791996","263758"
"                Eastern Area (Items)",,,,,,,,,,,,,,,,,,,"196226","104900","235391","101089","85589","115171","230750","69396","118230","128649","117521","119274","64635","53855","100094","97094","41459","374","38773","59858","122382"
"                Southern Area (Items)",,,,,,,,,,,,,,,,,,,"761605","356204","248412","407456","509082","2486522","1157515","2013212","1163455","506337","2835762","605518","171819","74082","467319","1497423","1663548","1329945","356188","440908","487093"
"        Lightning (Items)",,,,,,,,,,,,,,,,,,,"1822600","4097593","2038443","7011023","7168062","5468901","5878691","1862477","3849040","2119275","3354596","6825989","3057566","2012843","8112688","1743385","5195610","3127003","3447038","4123523","4101884"
"            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
